Grupo muscular (es),Ejercicio (es),Ejercicio (en),Descripción,Ruta imagen
Abdominales,Esfinge,Sphinx,"Read our sphinx guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Esfinge\Read our sphinx guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Spider Crawl Push Up Up,Spider Crawl Push Up,"Read our spider crawl push up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Spider Crawl Push Up Up\Read our spider crawl push up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,La columna vertebral se extiende hacia adelante,Spine Stretch Forward,"Read our spine stretch forward guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\La columna vertebral se extiende hacia adelante\Read our spine stretch forward guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Despliegue de la rueda de pie,Standing Wheel Rollout,"Read our standing wheel rollout guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Despliegue de la rueda de pie\Read our standing wheel rollout guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Abdomine de la pierna recta,Straight Leg Sit-up,"Read our straight leg sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Abdomine de la pierna recta\Read our straight leg sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Superman empuje,Superman Push Up,"Read our superman push up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Superman empuje\Read our superman push up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crunch inverso suspendido,Suspended Reverse Crunch,"Read our suspended reverse crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crunch inverso suspendido\Read our suspended reverse crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Puente de la mesa,Table Top Bridge,"Read our table top bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Puente de la mesa\Read our table top bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Tuck Crunch,Tuck Crunch,"Read our tuck crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tuck Crunch\Read our tuck crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Gira sentarse,Twist Sit Up,"Read our twist sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Gira sentarse\Read our twist sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,V arriba,V Up,"Read our v up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\V arriba\Read our v up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,V-Sit en el piso,V-sit on Floor,"Read our v-sit on floor guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\V-Sit en el piso\Read our v-sit on floor guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crujido pesado,Weighted Crunch,"Read our weighted crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crujido pesado\Read our weighted crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Conedera de declive ponderada,Weighted Decline Sit-up,"Read our weighted decline sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Conedera de declive ponderada\Read our weighted decline sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crujido lateral pesado,Weighted Side Crunch,"Read our weighted side crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crujido lateral pesado\Read our weighted side crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Viento sprints,Wind Sprints,"Read our wind sprints guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Viento sprints\Read our wind sprints guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Alterno lateral lateral,Alternate Lateral Pulldown,"Read our alternate lateral pulldown guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Alterno lateral lateral\Read our alternate lateral pulldown guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Archer Pull-up,Archer Pull-up,"Read our archer pull-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Archer Pull-up\Read our archer pull-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Ayudado paralelo de apretón de agarre de cierre,Assisted Parallel Close Grip Pull Up,"Read our assisted parallel close grip pull up guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Ayudado paralelo de apretón de agarre de cierre\Read our assisted parallel close grip pull up guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Plegada asistida,Assisted Pull Up,"Read our assisted pull up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Plegada asistida\Read our assisted pull up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Extensión posterior en la pelota de ejercicio,Back Extension on Exercise Ball,"Read our back extension on exercise ball guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Extensión posterior en la pelota de ejercicio\Read our back extension on exercise ball guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Palanca trasera,Back Lever,"Read our back lever guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Palanca trasera\Read our back lever guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Relajación de espalda,Back Relaxation,"Read our back relaxation guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Relajación de espalda\Read our back relaxation guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Estiramiento trasero,Back Stretch,"Read our back stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Estiramiento trasero\Read our back stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Atrás,Band Asistida Bir arriba,Band Assisted Chin Up,"Read our band assisted chin up guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Band Asistida Bir arriba\Read our band assisted chin up guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Salsa asistida por la banda,Band Assisted Dip,"Read our band assisted dip guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Salsa asistida por la banda\Read our band assisted dip guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Pull up asistido por la banda,Band Assisted Pull Up,"Read our band assisted pull up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Pull up asistido por la banda\Read our band assisted pull up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Extensión de la espalda de la banda,Band Back Extension,"Read our band back extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Extensión de la espalda de la banda\Read our band back extension guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Banda doblada sobre fila,Band Bent Over Row,"Read our band bent over row guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Banda doblada sobre fila\Read our band bent over row guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Band Close Abrip pulldown,Band Close Grip Pulldown,"Read our band close grip pulldown guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Band Close Abrip pulldown\Read our band close grip pulldown guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Band Close Grip Fila,Band Close Grip Row,"Read our band close grip row guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Band Close Grip Fila\Read our band close grip row guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Hiperextensión de banda,Band Hyperextension,"Read our band hyperextension guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Hiperextensión de banda\Read our band hyperextension guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Banda de rodillas polldown,Band Kneeling Pulldown,"Read our band kneeling pulldown guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Banda de rodillas polldown\Read our band kneeling pulldown guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Banda Sentada Fila,Band Seated Row,"Read our band seated row guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Banda Sentada Fila\Read our band seated row guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Banda de hombros,Band Shrug,"Read our band shrug guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Banda de hombros\Read our band shrug guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Atrás,Fila de cuclillas de la banda,Band Squat Row,"Read our band squat row guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Atrás\Fila de cuclillas de la banda\Read our band squat row guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
